url,title,price_czk,source,discount_pct,scraped_at
https://mobil.bazos.cz/inzerat/222268601/garmin-fenix-8-47mm.php,Garmin fenix 8 47mm: 16 400,16400,bazos,36.9,2026-08-08T12:58:06.915996+00:00
https://sport.bazos.cz/inzerat/222261738/garmin-fenix-8-pro-amoled-sapphire-titanium-black-47mm.php,Garmin Fenix 8 Pro Amoled Sapphire Titanium Black 47mm: 17 000,17000,bazos,34.6,2026-08-08T12:58:06.916017+00:00
https://mobil.bazos.cz/inzerat/222221138/garmin-fenix-8-47mm-amoled-sapphire-orange.php,Garmin Fenix 8 47mm AMOLED Sapphire orange: 15 700,15700,bazos,39.6,2026-08-08T12:58:06.916021+00:00
https://mobil.bazos.cz/inzerat/222220759/garmin-fenix-8-43mm-amoled.php,Garmin Fenix 8 43mm AMOLED: 13 500,13500,bazos,48.1,2026-08-08T12:58:06.916025+00:00
https://mobil.bazos.cz/inzerat/222203881/ocelovy-naramek-ricardo-26-mm-quickfit-pro-garmin-stribrny.php,Ocelový náramek Ricardo 26 mm QuickFit pro Garmin – stříbrný: 500,500,bazos,98.1,2026-08-08T12:58:06.916028+00:00
https://mobil.bazos.cz/inzerat/222200412/garmin-fenix-8-51mm-sapphire.php,Garmin Fenix 8 51mm Sapphire: 12 500,12500,bazos,51.9,2026-08-08T12:58:06.916031+00:00
https://mobil.bazos.cz/inzerat/222160059/garmin-fenix-8-47-mm-amoled-plne-funkcni-prislusenstvi-v.php,"Garmin Fenix 8 - 47 mm AMOLED, plně funkční, příslušenství v: 15 000",15000,bazos,42.3,2026-08-08T12:58:06.916035+00:00
https://mobil.bazos.cz/inzerat/222150431/garmin-fenix-8.php,Garmin Fenix 8: 777,777,bazos,97.0,2026-08-08T12:58:06.916037+00:00
https://mobil.bazos.cz/inzerat/222141141/garmin-fenix-8-47mm-amoled-sapphire.php,Garmin Fenix 8 47mm AMOLED Sapphire: 15 700,15700,bazos,39.6,2026-08-08T12:58:06.916040+00:00
https://mobil.bazos.cz/inzerat/222122735/2x-kryt-2x-reminek-garmin-fenix-8-47mm.php,2x kryt + 2x řemínek Garmin fenix 8 47mm: 380,380,bazos,98.5,2026-08-08T12:58:06.916043+00:00
